codigo,anio_escolar,grado,asignatura,numero_de_periodo,resultado
20022028,2017-2018,12,Matematicas,1,89.0
20022028,2017-2018,12,Matematicas,2,84.0
20022028,2017-2018,12,Matematicas,3,82.0
20022028,2017-2018,12,Matematicas,4,80.0
20022028,2017-2018,12,Fisica,1,85.0
20022028,2017-2018,12,Fisica,2,77.0
20022028,2017-2018,12,Fisica,3,88.0
20022028,2017-2018,12,Fisica,4,85.0
20022028,2017-2018,12,Quimica,1,84.0
20022028,2017-2018,12,Quimica,2,80.0
20022028,2017-2018,12,Quimica,3,84.0
20022028,2017-2018,12,Quimica,4,83.0
20022028,2017-2018,12,Ciencias Sociales,1,90.0
20022028,2017-2018,12,Ciencias Sociales,2,92.0
20022028,2017-2018,12,Ciencias Sociales,3,91.0
20022028,2017-2018,12,Ciencias Sociales,4,91.0
20022028,2017-2018,12,Economia,1,92.0
20022028,2017-2018,12,Economia,2,91.0
20022028,2017-2018,12,Economia,3,95.0
20022028,2017-2018,12,Economia,4,95.0
20022028,2017-2018,12,Espaol,1,84.0
20022028,2017-2018,12,Espaol,2,86.0
20022028,2017-2018,12,Espaol,3,85.0
20022028,2017-2018,12,Espaol,4,85.0
20022028,2017-2018,12,Estadistica,1,83.0
20022028,2017-2018,12,Estadistica,2,93.0
20022028,2017-2018,12,Estadistica,3,93.0
20022028,2017-2018,12,Estadistica,4,78.0
20022028,2017-2018,12,Filosofia,1,88.0
20022028,2017-2018,12,Filosofia,2,93.0
20022028,2017-2018,12,Filosofia,3,93.0
20022028,2017-2018,12,Filosofia,4,87.0
20022028,2017-2018,12,Ingles,1,94.0
20022028,2017-2018,12,Ingles,2,100.0
20022028,2017-2018,12,Ingles,3,100.0
20022028,2017-2018,12,Ingles,4,100.0
20022028,2017-2018,12,Disciplina,1,98.0
20022028,2017-2018,12,Disciplina,2,97.0
20022028,2017-2018,12,Disciplina,3,100.0
20022028,2017-2018,12,Disciplina,4,100.0
20022049,2017-2018,12,Matematicas,1,77.0
20022049,2017-2018,12,Matematicas,2,69.0
20022049,2017-2018,12,Matematicas,3,78.0
20022049,2017-2018,12,Matematicas,4,75.0
20022049,2017-2018,12,Fisica,1,77.0
20022049,2017-2018,12,Fisica,2,78.0
20022049,2017-2018,12,Fisica,3,69.0
20022049,2017-2018,12,Fisica,4,67.0
20022049,2017-2018,12,Quimica,1,73.0
20022049,2017-2018,12,Quimica,2,62.0
20022049,2017-2018,12,Quimica,3,82.0
20022049,2017-2018,12,Quimica,4,76.0
20022049,2017-2018,12,Ciencias Sociales,1,90.0
20022049,2017-2018,12,Ciencias Sociales,2,90.0
20022049,2017-2018,12,Ciencias Sociales,3,86.0
20022049,2017-2018,12,Ciencias Sociales,4,84.0
20022049,2017-2018,12,Economia,1,91.0
20022049,2017-2018,12,Economia,2,56.0
20022049,2017-2018,12,Economia,3,90.0
20022049,2017-2018,12,Economia,4,82.0
20022049,2017-2018,12,Espaol,1,85.0
20022049,2017-2018,12,Espaol,2,79.0
20022049,2017-2018,12,Espaol,3,78.0
20022049,2017-2018,12,Espaol,4,85.0
20022049,2017-2018,12,Estadistica,1,76.0
20022049,2017-2018,12,Estadistica,2,68.0
20022049,2017-2018,12,Estadistica,3,81.0
20022049,2017-2018,12,Estadistica,4,63.0
20022049,2017-2018,12,Filosofia,1,75.0
20022049,2017-2018,12,Filosofia,2,90.0
20022049,2017-2018,12,Filosofia,3,87.0
20022049,2017-2018,12,Filosofia,4,87.0
20022049,2017-2018,12,Ingles,1,90.0
20022049,2017-2018,12,Ingles,2,77.0
20022049,2017-2018,12,Ingles,3,69.0
20022049,2017-2018,12,Ingles,4,86.0
20022049,2017-2018,12,Disciplina,1,70.0
20022049,2017-2018,12,Disciplina,2,60.0
20022049,2017-2018,12,Disciplina,3,95.0
20022049,2017-2018,12,Disciplina,4,89.0
20022098,2017-2018,12,Matematicas,1,82.0
20022098,2017-2018,12,Matematicas,2,78.0
20022098,2017-2018,12,Matematicas,3,83.0
20022098,2017-2018,12,Matematicas,4,80.0
20022098,2017-2018,12,Fisica,1,79.0
20022098,2017-2018,12,Fisica,2,72.0
20022098,2017-2018,12,Fisica,3,86.0
20022098,2017-2018,12,Fisica,4,76.0
20022098,2017-2018,12,Quimica,1,78.0
20022098,2017-2018,12,Quimica,2,79.0
20022098,2017-2018,12,Quimica,3,85.0
20022098,2017-2018,12,Quimica,4,78.0
20022098,2017-2018,12,Ciencias Sociales,1,87.0
20022098,2017-2018,12,Ciencias Sociales,2,88.0
20022098,2017-2018,12,Ciencias Sociales,3,93.0
20022098,2017-2018,12,Ciencias Sociales,4,88.0
20022098,2017-2018,12,Economia,1,89.0
20022098,2017-2018,12,Economia,2,90.0
20022098,2017-2018,12,Economia,3,62.0
20022098,2017-2018,12,Economia,4,93.0
20022098,2017-2018,12,Espaol,1,86.0
20022098,2017-2018,12,Espaol,2,74.0
20022098,2017-2018,12,Espaol,3,75.0
20022098,2017-2018,12,Espaol,4,80.0
20022098,2017-2018,12,Estadistica,1,89.0
20022098,2017-2018,12,Estadistica,2,76.0
20022098,2017-2018,12,Estadistica,3,76.0
20022098,2017-2018,12,Estadistica,4,74.0
