codigo,anio_escolar_de_ingreso,grado_de_ingreso
20022028,2017-2018,12
20022049,2017-2018,12
20022098,2017-2018,12
20022099,2017-2018,12
20032002,2017-2018,12
20032003,2017-2018,12
20032004,2017-2018,12
20032006,2017-2018,12
20032007,2017-2018,12
20032013,2017-2018,12
20032021,2017-2018,12
20032023,2017-2018,12
20032026,2017-2018,12
20032027,2017-2018,12
20032028,2017-2018,12
20032029,2017-2018,12
20032034,2017-2018,12
20032036,2017-2018,12
20032039,2017-2018,12
20032040,2017-2018,12
20032041,2017-2018,12
20032043,2017-2018,12
20032044,2017-2018,12
20032046,2017-2018,12
20032052,2017-2018,12
20032054,2017-2018,12
20032055,2017-2018,12
20032057,2017-2018,12
20032058,2017-2018,12
20032063,2017-2018,12
20032065,2017-2018,12
20032067,2017-2018,12
20032068,2017-2018,12
20032070,2017-2018,12
20032072,2017-2018,12
20032077,2017-2018,12
20032080,2017-2018,12
20032082,2017-2018,12
20032095,2017-2018,12
20042076,2017-2018,12
20042085,2017-2018,12
20042156,2017-2018,12
20042159,2017-2018,12
20042163,2017-2018,12
20042164,2017-2018,12
20042165,2017-2018,12
20042167,2017-2018,12
20042168,2017-2018,12
20042169,2017-2018,12
20042181,2017-2018,12
20042186,2017-2018,12
20042215,2017-2018,12
20052366,2017-2018,12
20062365,2017-2018,12
20062393,2017-2018,12
20070273,2017-2018,12
20080261,2017-2018,12
20090348,2017-2018,12
20100485,2017-2018,12
20130081,2017-2018,12
20161147,2017-2018,12
20032005,2017-2018,11
20032035,2017-2018,11
20042001,2017-2018,11
20042004,2017-2018,11
20042005,2017-2018,11
20042006,2017-2018,11
20042009,2017-2018,11
20042011,2017-2018,11
20042012,2017-2018,11
20042014,2017-2018,11
20042016,2017-2018,11
20042017,2017-2018,11
20042023,2017-2018,11
20042024,2017-2018,11
20042025,2017-2018,11
20042026,2017-2018,11
20042028,2017-2018,11
20042029,2017-2018,11
20042033,2017-2018,11
20042035,2017-2018,11
20042036,2017-2018,11
20042037,2017-2018,11
20042038,2017-2018,11
20042041,2017-2018,11
20042042,2017-2018,11
20042043,2017-2018,11
20042045,2017-2018,11
20042046,2017-2018,11
20042047,2017-2018,11
20042050,2017-2018,11
20042052,2017-2018,11
20042053,2017-2018,11
20042077,2017-2018,11
20042079,2017-2018,11
20042080,2017-2018,11
20042087,2017-2018,11
20042090,2017-2018,11
20042157,2017-2018,11
20042158,2017-2018,11
20042162,2017-2018,11
20042166,2017-2018,11
20043031,2017-2018,11
20052150,2017-2018,11
20052151,2017-2018,11
20052152,2017-2018,11
20052153,2017-2018,11
20052154,2017-2018,11
20052155,2017-2018,11
20052156,2017-2018,11
20052157,2017-2018,11
20052159,2017-2018,11
20052161,2017-2018,11
20052162,2017-2018,11
20052271,2017-2018,11
20052282,2017-2018,11
20062259,2017-2018,11
20062260,2017-2018,11
20062294,2017-2018,11
20062351,2017-2018,11
20070170,2017-2018,11
20072364,2017-2018,11
20110401,2017-2018,11
20120093,2017-2018,11
20130062,2017-2018,11
20042015,2017-2018,10
20042030,2017-2018,10
20042034,2017-2018,10
20052005,2017-2018,10
20052007,2017-2018,10
20052016,2017-2018,10
20052018,2017-2018,10
20052024,2017-2018,10
20052031,2017-2018,10
20052036,2017-2018,10
20052041,2017-2018,10
20052044,2017-2018,10
20052047,2017-2018,10
20052063,2017-2018,10
20052069,2017-2018,10
20062062,2017-2018,10
20062139,2017-2018,10
20062142,2017-2018,10
20062143,2017-2018,10
20062144,2017-2018,10
20062146,2017-2018,10
20072261,2017-2018,10
20072268,2017-2018,10
20150365,2017-2018,10
20052001,2017-2018,10
20052020,2017-2018,10
20052021,2017-2018,10
20052023,2017-2018,10
20052025,2017-2018,10
20052028,2017-2018,10
20052029,2017-2018,10
20052032,2017-2018,10
20052033,2017-2018,10
20052034,2017-2018,10
20052035,2017-2018,10
20052040,2017-2018,10
20052042,2017-2018,10
20052043,2017-2018,10
20052045,2017-2018,10
20052068,2017-2018,10
20052092,2017-2018,10
20072241,2017-2018,10
20072249,2017-2018,10
20082301,2017-2018,10
20090164,2017-2018,10
20100277,2017-2018,10
20130078,2017-2018,10
20042003,2017-2018,10
20042020,2017-2018,10
20042040,2017-2018,10
20042049,2017-2018,10
20052008,2017-2018,10
20052011,2017-2018,10
20052012,2017-2018,10
20052013,2017-2018,10
20052019,2017-2018,10
20052037,2017-2018,10
20052038,2017-2018,10
20052039,2017-2018,10
20052049,2017-2018,10
20052070,2017-2018,10
20052072,2017-2018,10
20062138,2017-2018,10
20062140,2017-2018,10
20062141,2017-2018,10
20062194,2017-2018,10
20072278,2017-2018,10
20090158,2017-2018,10
20161101,2017-2018,10
20052017,2017-2018,9
20062005,2017-2018,9
20062006,2017-2018,9
20062007,2017-2018,9
20062010,2017-2018,9
20062011,2017-2018,9
20062013,2017-2018,9
20062014,2017-2018,9
20062019,2017-2018,9
20062020,2017-2018,9
20062025,2017-2018,9
20062029,2017-2018,9
20062031,2017-2018,9
20062033,2017-2018,9
20062061,2017-2018,9
20062193,2017-2018,9
20072132,2017-2018,9
20072136,2017-2018,9
20072139,2017-2018,9
20072157,2017-2018,9
20072242,2017-2018,9
20082141,2017-2018,9
20092272,2017-2018,9
20120092,2017-2018,9
20052014,2017-2018,9
20062002,2017-2018,9
20062004,2017-2018,9
20062008,2017-2018,9
20062012,2017-2018,9
20062015,2017-2018,9
20062018,2017-2018,9
20062021,2017-2018,9
20062022,2017-2018,9
20062024,2017-2018,9
20062028,2017-2018,9
20062032,2017-2018,9
20062034,2017-2018,9
20062037,2017-2018,9
20062053,2017-2018,9
20062087,2017-2018,9
20072128,2017-2018,9
20072130,2017-2018,9
20072137,2017-2018,9
20072138,2017-2018,9
20072140,2017-2018,9
20072160,2017-2018,9
20082245,2017-2018,9
20092355,2017-2018,9
20092374,2017-2018,9
20120084,2017-2018,9
20150366,2017-2018,9
20062030,2017-2018,8
20072001,2017-2018,8
20072002,2017-2018,8
20072004,2017-2018,8
20072009,2017-2018,8
20072011,2017-2018,8
20072013,2017-2018,8
20072014,2017-2018,8
20072017,2017-2018,8
20072021,2017-2018,8
20072024,2017-2018,8
20072052,2017-2018,8
20072129,2017-2018,8
20082135,2017-2018,8
20082139,2017-2018,8
20082143,2017-2018,8
20082154,2017-2018,8
20082172,2017-2018,8
20092269,2017-2018,8
20120097,2017-2018,8
20120105,2017-2018,8
