codigo,anio_escolar,grado,asignatura,resultado
20052001,2017-2018,10,Reading and Writing,610
20052001,2017-2018,10,Math,530
20052001,2017-2018,10,Combinado,1140
20072278,2017-2018,10,Reading and Writing,570
20072278,2017-2018,10,Math,500
20072278,2017-2018,10,Combinado,1070
20072268,2017-2018,10,Reading and Writing,440
20072268,2017-2018,10,Math,500
20072268,2017-2018,10,Combinado,940
20062138,2017-2018,10,Reading and Writing,570
20062138,2017-2018,10,Math,590
20062138,2017-2018,10,Combinado,1160
20062139,2017-2018,10,Reading and Writing,540
20062139,2017-2018,10,Math,560
20062139,2017-2018,10,Combinado,1100
20100277,2017-2018,10,Reading and Writing,560
20100277,2017-2018,10,Math,570
20100277,2017-2018,10,Combinado,1130
20052007,2017-2018,10,Reading and Writing,530
20052007,2017-2018,10,Math,530
20052007,2017-2018,10,Combinado,1060
20042003,2017-2018,10,Reading and Writing,490
20042003,2017-2018,10,Math,420
20042003,2017-2018,10,Combinado,910
20072241,2017-2018,10,Reading and Writing,440
20072241,2017-2018,10,Math,460
20072241,2017-2018,10,Combinado,900
20082301,2017-2018,10,Reading and Writing,430
20082301,2017-2018,10,Math,480
20082301,2017-2018,10,Combinado,910
20052008,2017-2018,10,Reading and Writing,340
20052008,2017-2018,10,Math,490
20052008,2017-2018,10,Combinado,830
20052005,2017-2018,10,Reading and Writing,550
20052005,2017-2018,10,Math,520
20052005,2017-2018,10,Combinado,1070
20052068,2017-2018,10,Reading and Writing,440
20052068,2017-2018,10,Math,490
20052068,2017-2018,10,Combinado,930
20052069,2017-2018,10,Reading and Writing,450
20052069,2017-2018,10,Math,470
20052069,2017-2018,10,Combinado,920
20062062,2017-2018,10,Reading and Writing,690
20062062,2017-2018,10,Math,530
20062062,2017-2018,10,Combinado,1220
20130078,2017-2018,10,Reading and Writing,560
20130078,2017-2018,10,Math,460
20130078,2017-2018,10,Combinado,1020
20052012,2017-2018,10,Reading and Writing,500
20052012,2017-2018,10,Math,480
20052012,2017-2018,10,Combinado,980
20042015,2017-2018,10,Reading and Writing,450
20042015,2017-2018,10,Math,460
20042015,2017-2018,10,Combinado,910
20052063,2017-2018,10,Reading and Writing,410
20052063,2017-2018,10,Math,410
20052063,2017-2018,10,Combinado,820
20062140,2017-2018,10,Reading and Writing,440
20062140,2017-2018,10,Math,510
20062140,2017-2018,10,Combinado,950
20052092,2017-2018,10,Reading and Writing,520
20052092,2017-2018,10,Math,540
20052092,2017-2018,10,Combinado,1060
20052011,2017-2018,10,Reading and Writing,580
20052011,2017-2018,10,Math,510
20052011,2017-2018,10,Combinado,1090
20042020,2017-2018,10,Reading and Writing,450
20042020,2017-2018,10,Math,440
20042020,2017-2018,10,Combinado,890
20062141,2017-2018,10,Reading and Writing,510
20062141,2017-2018,10,Math,530
20062141,2017-2018,10,Combinado,1040
20052013,2017-2018,10,Reading and Writing,540
20052013,2017-2018,10,Math,480
20052013,2017-2018,10,Combinado,1020
20062142,2017-2018,10,Reading and Writing,560
20062142,2017-2018,10,Math,500
20062142,2017-2018,10,Combinado,1060
20052016,2017-2018,10,Reading and Writing,530
20052016,2017-2018,10,Math,530
20052016,2017-2018,10,Combinado,1060
20090164,2017-2018,10,Reading and Writing,530
20090164,2017-2018,10,Math,510
20090164,2017-2018,10,Combinado,1040
20052018,2017-2018,10,Reading and Writing,540
20052018,2017-2018,10,Math,560
20052018,2017-2018,10,Combinado,1100
20052049,2017-2018,10,Reading and Writing,540
20052049,2017-2018,10,Math,570
20052049,2017-2018,10,Combinado,1110
20052019,2017-2018,10,Reading and Writing,520
20052019,2017-2018,10,Math,560
20052019,2017-2018,10,Combinado,1080
20052020,2017-2018,10,Reading and Writing,450
20052020,2017-2018,10,Math,440
20052020,2017-2018,10,Combinado,890
20052023,2017-2018,10,Reading and Writing,470
20052023,2017-2018,10,Math,470
20052023,2017-2018,10,Combinado,940
20052024,2017-2018,10,Reading and Writing,560
20052024,2017-2018,10,Math,480
20052024,2017-2018,10,Combinado,1040
20052021,2017-2018,10,Reading and Writing,480
20052021,2017-2018,10,Math,400
20052021,2017-2018,10,Combinado,880
20052070,2017-2018,10,Reading and Writing,590
20052070,2017-2018,10,Math,520
20052070,2017-2018,10,Combinado,1110
20042030,2017-2018,10,Reading and Writing,480
20042030,2017-2018,10,Math,440
20042030,2017-2018,10,Combinado,920
20052072,2017-2018,10,Reading and Writing,430
20052072,2017-2018,10,Math,450
20052072,2017-2018,10,Combinado,880
20062143,2017-2018,10,Reading and Writing,570
20062143,2017-2018,10,Math,570
20062143,2017-2018,10,Combinado,1140
20052025,2017-2018,10,Reading and Writing,480
20052025,2017-2018,10,Math,530
20052025,2017-2018,10,Combinado,1010
20150365,2017-2018,10,Reading and Writing,530
20150365,2017-2018,10,Math,420
20150365,2017-2018,10,Combinado,950
20161101,2017-2018,10,Reading and Writing,430
20161101,2017-2018,10,Math,420
20161101,2017-2018,10,Combinado,850
20052031,2017-2018,10,Reading and Writing,480
20052031,2017-2018,10,Math,430
20052031,2017-2018,10,Combinado,910
20052029,2017-2018,10,Reading and Writing,530
20052029,2017-2018,10,Math,510
20052029,2017-2018,10,Combinado,1040
20042034,2017-2018,10,Reading and Writing,520
20042034,2017-2018,10,Math,490
20042034,2017-2018,10,Combinado,1010
20052032,2017-2018,10,Reading and Writing,590
20052032,2017-2018,10,Math,480
20052032,2017-2018,10,Combinado,1070
20052028,2017-2018,10,Reading and Writing,530
20052028,2017-2018,10,Math,540
20052028,2017-2018,10,Combinado,1070
20052033,2017-2018,10,Reading and Writing,480
20052033,2017-2018,10,Math,530
20052033,2017-2018,10,Combinado,1010
20062144,2017-2018,10,Reading and Writing,590
20062144,2017-2018,10,Math,530
20062144,2017-2018,10,Combinado,1120
20090158,2017-2018,10,Reading and Writing,500
20090158,2017-2018,10,Math,480
