codigo,anio_escolar,grado,asignatura,resultado
20032067,2017-2018,12,LECTURA CRITICA,72.0
20032067,2017-2018,12,MATEMATICAS,70.0
20032067,2017-2018,12,SOCIALES Y CIUDADANAS,64.0
20032067,2017-2018,12,CIENCIAS,73.0
20032067,2017-2018,12,INGLES,83.0
20032067,2017-2018,12,GLOBAL,354.0
20032070,2017-2018,12,LECTURA CRITICA,64.0
20032070,2017-2018,12,MATEMATICAS,70.0
20032070,2017-2018,12,SOCIALES Y CIUDADANAS,64.0
20032070,2017-2018,12,CIENCIAS,70.0
20032070,2017-2018,12,INGLES,78.0
20032070,2017-2018,12,GLOBAL,339.0
20032072,2017-2018,12,LECTURA CRITICA,62.0
20032072,2017-2018,12,MATEMATICAS,67.0
20032072,2017-2018,12,SOCIALES Y CIUDADANAS,66.0
20032072,2017-2018,12,CIENCIAS,57.0
20032072,2017-2018,12,INGLES,79.0
20032072,2017-2018,12,GLOBAL,321.0
20032007,2017-2018,12,LECTURA CRITICA,64.0
20032007,2017-2018,12,MATEMATICAS,84.0
20032007,2017-2018,12,SOCIALES Y CIUDADANAS,67.0
20032007,2017-2018,12,CIENCIAS,72.0
20032007,2017-2018,12,INGLES,79.0
20032007,2017-2018,12,GLOBAL,362.0
20032006,2017-2018,12,LECTURA CRITICA,68.0
20032006,2017-2018,12,MATEMATICAS,73.0
20032006,2017-2018,12,SOCIALES Y CIUDADANAS,61.0
20032006,2017-2018,12,CIENCIAS,66.0
20032006,2017-2018,12,INGLES,81.0
20032006,2017-2018,12,GLOBAL,340.0
20042186,2017-2018,12,LECTURA CRITICA,66.0
20042186,2017-2018,12,MATEMATICAS,66.0
20042186,2017-2018,12,SOCIALES Y CIUDADANAS,71.0
20042186,2017-2018,12,CIENCIAS,59.0
20042186,2017-2018,12,INGLES,90.0
20042186,2017-2018,12,GLOBAL,337.0
20042169,2017-2018,12,LECTURA CRITICA,74.0
20042169,2017-2018,12,MATEMATICAS,67.0
20042169,2017-2018,12,SOCIALES Y CIUDADANAS,64.0
20042169,2017-2018,12,CIENCIAS,60.0
20042169,2017-2018,12,INGLES,80.0
20042169,2017-2018,12,GLOBAL,337.0
20052366,2017-2018,12,LECTURA CRITICA,60.0
20052366,2017-2018,12,MATEMATICAS,63.0
20052366,2017-2018,12,SOCIALES Y CIUDADANAS,67.0
20052366,2017-2018,12,CIENCIAS,66.0
20052366,2017-2018,12,INGLES,0.0
20052366,2017-2018,12,GLOBAL,320.0
20032023,2017-2018,12,LECTURA CRITICA,67.0
20032023,2017-2018,12,MATEMATICAS,69.0
20032023,2017-2018,12,SOCIALES Y CIUDADANAS,69.0
20032023,2017-2018,12,CIENCIAS,68.0
20032023,2017-2018,12,INGLES,81.0
20032023,2017-2018,12,GLOBAL,346.0
20032028,2017-2018,12,LECTURA CRITICA,65.0
20032028,2017-2018,12,MATEMATICAS,72.0
20032028,2017-2018,12,SOCIALES Y CIUDADANAS,68.0
20032028,2017-2018,12,CIENCIAS,66.0
20032028,2017-2018,12,INGLES,84.0
20032028,2017-2018,12,GLOBAL,345.0
20022099,2017-2018,12,LECTURA CRITICA,77.0
20022099,2017-2018,12,MATEMATICAS,71.0
20022099,2017-2018,12,SOCIALES Y CIUDADANAS,67.0
20022099,2017-2018,12,CIENCIAS,70.0
20022099,2017-2018,12,INGLES,86.0
20022099,2017-2018,12,GLOBAL,362.0
20130081,2017-2018,12,LECTURA CRITICA,75.0
20130081,2017-2018,12,MATEMATICAS,69.0
20130081,2017-2018,12,SOCIALES Y CIUDADANAS,69.0
20130081,2017-2018,12,CIENCIAS,78.0
20130081,2017-2018,12,INGLES,81.0
20130081,2017-2018,12,GLOBAL,367.0
20062365,2017-2018,12,LECTURA CRITICA,64.0
20062365,2017-2018,12,MATEMATICAS,67.0
20062365,2017-2018,12,SOCIALES Y CIUDADANAS,65.0
20062365,2017-2018,12,CIENCIAS,61.0
20062365,2017-2018,12,INGLES,82.0
20062365,2017-2018,12,GLOBAL,328.0
20032034,2017-2018,12,LECTURA CRITICA,63.0
20032034,2017-2018,12,MATEMATICAS,72.0
20032034,2017-2018,12,SOCIALES Y CIUDADANAS,64.0
20032034,2017-2018,12,CIENCIAS,66.0
