codigo,anio_escolar,grado,asignatura,numero_de_prueba,resultado
20032077,2017-2018,12,Matematicas (cuant),1,"58,4"
20032077,2017-2018,12,Matematicas (cuant),2,"72,79"
20032077,2017-2018,12,Matematicas (cuant),3,"68,69"
20032077,2017-2018,12,Matematicas (cuant),4,"73,28"
20032077,2017-2018,12,Matematicas (Espec),1,73
20032077,2017-2018,12,Matematicas (Espec),2,45
20032077,2017-2018,12,Matematicas (Espec),3,43
20032077,2017-2018,12,Matematicas (Espec),4,58
20032077,2017-2018,12,Quimica,1,"31,22"
20032077,2017-2018,12,Quimica,2,"55,22"
20032077,2017-2018,12,Quimica,3,"62,54"
20032077,2017-2018,12,Quimica,4,"69,64"
20032077,2017-2018,12,Fisica,1,"76,26"
20032077,2017-2018,12,Fisica,2,"61,83"
20032077,2017-2018,12,Fisica,3,"74,33"
20032077,2017-2018,12,Fisica,4,"87,52"
20032077,2017-2018,12,Biologia,1,"78,5"
20032077,2017-2018,12,Biologia,2,"69,66"
20032077,2017-2018,12,Biologia,3,"49,73"
20032077,2017-2018,12,Biologia,4,"62,09"
20032077,2017-2018,12,CTS,1,75
20032077,2017-2018,12,CTS,2,71
20032077,2017-2018,12,CTS,3,75
20032077,2017-2018,12,CTS,4,74
20032077,2017-2018,12,Sociales,1,"82,96"
20032077,2017-2018,12,Sociales,2,"45,9"
20032077,2017-2018,12,Sociales,3,"93,04"
20032077,2017-2018,12,Sociales,4,"58,04"
20032077,2017-2018,12,Competencias Ciudadanas,1,66
20032077,2017-2018,12,Competencias Ciudadanas,2,73
20032077,2017-2018,12,Competencias Ciudadanas,3,79
20032077,2017-2018,12,Competencias Ciudadanas,4,86
20032077,2017-2018,12,Lectura Critica,1,"76,12"
20032077,2017-2018,12,Lectura Critica,2,"70,08"
20032077,2017-2018,12,Lectura Critica,3,"67,04"
20032077,2017-2018,12,Lectura Critica,4,"81,06"
20032077,2017-2018,12,Ingles,1,"86,43"
20032077,2017-2018,12,Ingles,2,"90,86"
20032077,2017-2018,12,Ingles,3,"91,07"
20032077,2017-2018,12,Ingles,4,"95,38"
20032077,2017-2018,12,DEF,1,356
20032077,2017-2018,12,DEF,2,325
20032077,2017-2018,12,DEF,3,357
20032077,2017-2018,12,DEF,4,371
20032065,2017-2018,12,Matematicas (cuant),1,"49,62"
20032065,2017-2018,12,Matematicas (cuant),2,"83,92"
20032065,2017-2018,12,Matematicas (cuant),3,"91,31"
20032065,2017-2018,12,Matematicas (cuant),4,"86,36"
20032065,2017-2018,12,Matematicas (Espec),1,70
20032065,2017-2018,12,Matematicas (Espec),2,74
20032065,2017-2018,12,Matematicas (Espec),3,66
20032065,2017-2018,12,Matematicas (Espec),4,66
20032065,2017-2018,12,Quimica,1,"56,61"
20032065,2017-2018,12,Quimica,2,"67,93"
20032065,2017-2018,12,Quimica,3,"56,22"
20032065,2017-2018,12,Quimica,4,"79,85"
20032065,2017-2018,12,Fisica,1,"88,15"
20032065,2017-2018,12,Fisica,2,"75,02"
20032065,2017-2018,12,Fisica,3,"55,51"
20032065,2017-2018,12,Fisica,4,100
20032065,2017-2018,12,Biologia,1,"51,97"
20032065,2017-2018,12,Biologia,2,"52,09"
20032065,2017-2018,12,Biologia,3,"49,66"
20032065,2017-2018,12,Biologia,4,"93,35"
20032065,2017-2018,12,CTS,1,49
20032065,2017-2018,12,CTS,2,85
20032065,2017-2018,12,CTS,3,87
20032065,2017-2018,12,CTS,4,75
20032065,2017-2018,12,Sociales,1,"59,08"
20032065,2017-2018,12,Sociales,2,"65,81"
20032065,2017-2018,12,Sociales,3,"79,54"
20032065,2017-2018,12,Sociales,4,"57,96"
20032065,2017-2018,12,Competencias Ciudadanas,1,53
20032065,2017-2018,12,Competencias Ciudadanas,2,73
20032065,2017-2018,12,Competencias Ciudadanas,3,73
20032065,2017-2018,12,Competencias Ciudadanas,4,82
20032065,2017-2018,12,Lectura Critica,1,"57,88"
20032065,2017-2018,12,Lectura Critica,2,"60,85"
20032065,2017-2018,12,Lectura Critica,3,"72,93"
20032065,2017-2018,12,Lectura Critica,4,"75,76"
20032065,2017-2018,12,Ingles,1,"88,62"
20032065,2017-2018,12,Ingles,2,"88,66"
20032065,2017-2018,12,Ingles,3,"88,73"
20032065,2017-2018,12,Ingles,4,"93,18"
20032065,2017-2018,12,DEF,1,306
20032065,2017-2018,12,DEF,2,353
20032065,2017-2018,12,DEF,3,369
20032065,2017-2018,12,DEF,4,395
20161147,2017-2018,12,Matematicas (cuant),1,"41,28"
