codigo,disciplina_notas_11,economia_notas_11,espaniol_notas_11,filosofia_notas_11,fisica_notas_11,ingles_notas_11,matematicas_notas_11,quimica_notas_11,biologia_sim_11,cts_sim_11,competencias_ciudadanas_sim_11,fisica_sim_11,ingles_sim_11,lectura_critica_sim_11,matematicas_(espec)_sim_11,matematicas_(cuant)_sim_11,quimica_sim_11,sociales_sim_11,lectura_critica_saber_11
20032005,98.0,87.0,81.75,84.5,83.25,99.0,81.75,83.25,59.666666666666664,34.666666666666664,48.333333333333336,46.666666666666664,81.33333333333333,51.333333333333336,46.0,58.333333333333336,36.333333333333336,59.333333333333336,0
20032035,87.5,88.5,75.75,76.25,71.75,87.75,85.25,78.75,37.666666666666664,52.333333333333336,45.666666666666664,46.333333333333336,72.0,52.0,46.333333333333336,55.666666666666664,45.0,51.333333333333336,0
20042001,60.25,84.0,77.75,74.75,71.0,97.25,76.25,73.5,18.0,30.5,38.5,32.5,85.0,54.0,45.5,56.5,27.5,48.5,1
20042003,86.5,78.0,81.5,85.0,76.25,90.25,80.5,78.0,53.05,37.0,7.0,46.18,68.5,40.34,49.0,44.33,31.12,42.49,0
20042004,97.0,87.5,79.75,81.75,80.0,91.5,79.5,86.75,39.0,80.33333333333333,58.666666666666664,61.333333333333336,85.0,60.0,48.666666666666664,66.33333333333333,45.333333333333336,54.0,1
20042005,93.5,88.5,98.5,82.75,84.0,99.75,87.0,84.0,47.666666666666664,60.666666666666664,52.0,37.333333333333336,72.0,55.666666666666664,71.0,72.33333333333333,34.333333333333336,56.666666666666664,1
20042006,92.5,94.5,89.25,86.0,89.75,95.25,92.25,98.0,55.333333333333336,67.33333333333333,45.0,58.666666666666664,91.0,72.33333333333333,70.66666666666667,75.0,63.333333333333336,50.0,1
20042009,93.75,87.0,94.25,84.75,72.5,89.0,77.75,81.5,39.666666666666664,41.666666666666664,53.666666666666664,36.666666666666664,75.33333333333333,62.666666666666664,40.333333333333336,59.333333333333336,39.0,56.666666666666664,1
20042011,89.0,88.25,81.75,79.75,81.5,88.75,83.75,87.0,57.666666666666664,74.66666666666667,53.0,46.666666666666664,76.66666666666667,58.333333333333336,41.333333333333336,59.0,38.666666666666664,58.333333333333336,0
20042012,87.75,80.16666666666667,72.5,77.0,61.5,82.0,70.0,66.0,37.42,24.666666666666668,38.333333333333336,30.659999999999997,67.74333333333334,43.126666666666665,24.0,34.303333333333335,27.573333333333334,41.123333333333335,0
20042014,71.0,85.75,78.75,73.5,74.25,88.25,80.25,77.25,20.5,43.0,57.5,32.5,76.0,56.5,55.5,61.5,31.0,36.5,1
20042015,98.75,87.0,82.5,98.0,80.0,92.75,95.0,80.25,29.0,74.0,33.0,46.07,79.65,63.93,40.0,55.28,37.22,59.27,1
20042016,93.5,87.75,98.0,85.0,79.5,93.0,76.75,92.75,29.666666666666668,44.333333333333336,37.0,26.0,86.66666666666667,55.333333333333336,38.0,42.666666666666664,48.0,54.666666666666664,1
20042017,100.0,93.75,92.5,87.75,93.0,95.25,99.5,99.0,53.0,74.66666666666667,63.333333333333336,50.333333333333336,91.66666666666667,69.33333333333333,74.66666666666667,78.66666666666667,60.666666666666664,43.666666666666664,1
20042023,85.25,89.5,86.5,79.0,77.75,99.75,91.5,81.5,56.333333333333336,55.333333333333336,51.666666666666664,52.666666666666664,84.0,53.0,51.0,60.666666666666664,48.666666666666664,36.333333333333336,1
20042024,93.25,91.5,81.5,77.5,79.25,99.0,83.25,80.75,59.0,67.33333333333333,66.0,64.66666666666667,76.66666666666667,62.0,64.33333333333333,77.33333333333333,65.33333333333333,54.0,1
20042025,99.0,96.0,90.25,92.0,94.75,93.0,99.25,99.0,65.33333333333333,84.66666666666667,78.0,78.0,96.0,62.666666666666664,79.33333333333333,90.33333333333333,63.666666666666664,62.0,1
20042026,99.75,90.0,96.5,88.75,88.25,95.25,88.25,87.0,60.5,56.0,52.0,48.5,92.0,63.0,45.0,55.5,21.5,55.0,1
