codigo,ciencias_sociales_notas_12,disciplina_notas_12,economia_notas_12,espaniol_notas_12,estadistica_notas_12,filosofia_notas_12,fisica_notas_12,ingles_notas_12,matematicas_notas_12,quimica_notas_12,biologia_sim_12,cts_sim_12,competencias_ciudadanas_sim_12,fisica_sim_12,ingles_sim_12,lectura_critica_sim_12,matematicas_(espec)_sim_12,matematicas_(cuant)_sim_12,quimica_sim_12,sociales_sim_12,ingles_saber_11
20022028,91.0,98.75,93.25,85.0,86.75,90.25,83.75,98.5,83.75,82.75,49.6125,51.5,62.5,58.265,81.2225,62.175,49.75,52.965,51.1525,57.9125,0
20022049,87.5,78.5,79.75,81.75,72.0,84.75,72.75,80.5,74.75,73.25,47.46333333333333,52.333333333333336,50.333333333333336,42.43333333333333,78.28,65.84333333333333,42.666666666666664,56.64666666666667,47.39000000000001,65.17333333333333,1
20022098,89.0,85.25,83.5,78.75,78.75,86.5,78.25,99.75,80.75,80.0,56.3375,48.0,63.25,65.95,88.1,71.55499999999999,50.5,55.902499999999996,51.8625,71.8325,1
20022099,87.75,96.5,84.0,79.5,85.0,88.0,80.0,100.0,80.25,79.0,49.947500000000005,58.75,61.0,59.724999999999994,89.2375,75.11,47.5,55.89,56.7575,59.737500000000004,1
20032002,88.0,97.0,80.0,85.5,75.25,92.25,80.25,99.0,77.75,80.75,64.295,67.25,71.0,73.4,83.5625,63.5925,48.75,62.160000000000004,41.83,71.35249999999999,1
20032003,93.0,94.5,85.25,85.75,93.5,95.25,99.75,96.0,98.25,90.5,71.925,70.75,67.25,92.085,90.4075,69.9475,71.5,80.705,76.86,81.84,1
20032004,91.5,96.25,93.25,92.5,89.5,95.75,87.0,100.0,89.0,87.0,60.9675,67.25,66.75,65.7775,90.4275,73.5975,64.0,63.45,63.5225,75.0625,1
20032005,84.0,95.25,97.75,80.5,87.25,92.25,80.25,92.5,86.25,75.75,49.13666666666666,56.666666666666664,54.666666666666664,57.88333333333333,80.92333333333333,58.699999999999996,46.666666666666664,46.96666666666666,53.419999999999995,47.096666666666664,1
20032006,83.0,76.0,86.5,78.25,77.75,79.75,78.25,82.0,77.0,79.0,46.425,31.5,67.0,49.235,76.2475,56.71,60.25,64.9525,48.6425,56.1025,1
20032007,92.0,98.0,93.0,87.25,95.0,94.5,92.5,100.0,96.75,89.75,48.730000000000004,55.25,69.25,64.55,81.78,49.18,63.25,60.80499999999999,50.722500000000004,69.36500000000001,0
20032013,89.25,77.0,85.25,85.0,83.5,89.25,82.0,98.0,74.5,74.25,55.927499999999995,60.75,59.0,66.1075,88.6275,70.155,48.75,51.042500000000004,48.7725,66.2975,1
20032021,86.0,95.5,85.25,91.75,79.5,91.5,78.25,100.0,84.5,75.25,48.72333333333333,66.66666666666667,58.0,60.81,92.52333333333333,71.24333333333333,59.333333333333336,58.09666666666667,43.473333333333336,70.88333333333334,1
20032023,81.0,70.25,74.5,79.0,72.75,86.25,80.0,80.25,76.0,81.5,52.03,47.25,62.75,58.63,78.445,68.3375,55.75,64.0825,48.04,60.885,1
20032026,95.25,100.0,94.75,92.75,92.5,96.25,93.0,100.0,96.75,88.0,68.5925,86.25,91.5,76.2875,91.515,71.675,64.25,64.055,52.6575,76.1875,1
20032027,88.0,84.25,81.5,82.0,80.0,84.0,80.75,88.75,73.75,80.0,56.32,75.5,79.5,68.6525,89.8525,65.37,59.75,62.28,46.835,75.6375,1
20032028,88.5,97.0,88.0,81.25,85.5,91.75,82.5,87.25,78.5,80.5,61.629999999999995,64.25,58.0,68.925,75.8375,55.01,59.25,66.22999999999999,56.510000000000005,63.94499999999999,1
20032029,89.25,97.5,93.25,84.25,80.5,92.5,82.25,100.0,79.5,78.75,49.4525,66.75,70.25,70.3725,76.9325,62.7975,58.0,63.63,49.5525,72.8775,0
20032034,87.5,97.0,84.75,83.25,86.75,89.5,91.25,85.25,82.0,81.25,50.39,41.5,57.75,49.447500000000005,85.2825,55.1775,57.25,51.785000000000004,53.545,49.1175,0
20032035,83.0,90.0,92.25,77.75,86.5,84.5,69.75,86.25,71.25,71.0,41.699999999999996,68.33333333333333,48.333333333333336,43.873333333333335,71.92333333333333,61.04333333333333,41.666666666666664,54.60999999999999,51.803333333333335,51.379999999999995,0
